pert_id,pert_iname,is_positive_control,canonical_smiles,senmayo_mean_z,reversal_score,gps_discrete_score,gps_continuous_score
BRD-K49328571,dasatinib,True,Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1,-0.026086066,3.1780088,-0.0,-0.16073297
BRD-A50287119,sirolimus,True,CO[C@@H]1C[C@H](CC(C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O,0.031345222,0.90943396,-0.24390243902439024,-0.60959756
BRD-K02130563,panobinostat,True,Cc1[nH]c2ccccc2c1CCNCc1ccc(\C=C\C(=O)NO)cc1,0.13355018,0.6734529,-0.016260162601626018,-0.11890152
BRD-K81418486,vorinostat,True,ONC(=O)CCCCCCC(=O)Nc1ccccc1,0.042246997,0.056645487,-0.0,-0.1364149
BRD-K82746043,navitoclax,True,CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1,0.013886101,-0.17124587,-0.0,-0.059181966
BRD-K97399794,quercetin,True,Oc1cc(O)c2c(c1)oc(-c1ccc(O)c(O)c1)c(O)c2=O,0.061009582,-1.4758303,-0.16260162601626016,-0.5804163
BRD-K51750373,BRD-K51750373,False,CN(C)C(=O)c1cccc(c1)-c1ccc(cc1)[C@@H]1[C@@H](CO)N2CCCCN(Cc3cccnc3)C[C@@H]12,0.18538447,-2.3200197,-0.0,-0.14886393
BRD-K92627732,BRD-K92627732,False,COc1ccc(cc1)c2cnc3O[C@H](CN(C)C(=O)C4CCCCC4)[C@H](C)CN([C@H](C)CO)C(=O)c3c2,-0.0134483185,-1.1807462,-0.0,-0.09871512
BRD-K76764002,BRD-K76764002,False,OC[C@@H]1[C@@H]([C@H]2CN(CCCCN12)C(=O)NC1CCCC1)c1ccc(cc1)-c1cccnc1,-0.097734466,0.67396325,-0.0,-0.1646045
BRD-K86201813,BRD-K86201813,False,Cc1ccccc1-c1ccc(cc1)[C@@H]1[C@H]2CN(C[C@@H]1N2)C(=O)c1cnccn1,0.020624215,-1.5721245,-0.0,-0.08620888
BRD-K63947990,BRD-K63947990,False,C[C@@H](NC(=O)C[C@@H]1CC[C@@H]2[C@H](COC[C@H](O)CN2Cc2ccc(cc2)C(F)(F)F)O1)c1ccccc1,0.0009979336,-2.0156674,-0.0,-0.055085965
