pert_id,pert_iname,n_sig,n_cell,senmayo_mean_z,sign_consistency,z_vs_null,reversal_score,p_perm,fdr,moa,target,clinical_phase,rank,percentile
BRD-K61951118,FG-7142,15,8,-0.097604536,0.875,-6.875388,6.875388,0.0004997501249375312,0.011180859150256805,GABA benzodiazepine site receptor inverse agonist,,Preclinical,1,99.99530494389408
BRD-K93725829,ERK-inhibitor-11E,59,51,-0.08725017,0.803921568627451,-6.3189282,6.3189282,0.0004997501249375312,0.011180859150256805,,,,2,99.99060988778817
BRD-K93291781,BRD-K93291781,2,1,-0.36935297,,-6.074206,6.074206,0.0004997501249375312,0.011180859150256805,,,,3,99.98591483168224
BRD-K62810658,PD-98059,96,58,-0.0704275,0.7241379310344828,-5.572834,5.572834,0.0004997501249375312,0.011180859150256805,MEK inhibitor,AKT1|CHEK1|GSK3B|LCK|MAP2K1|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|RAF1|ROCK1|RPS6KB1|SGK1,Preclinical,4,99.9812197755763
BRD-K21971034,OM-137,17,13,-0.06357715,0.6923076923076923,-5.527865,5.527865,0.0004997501249375312,0.011180859150256805,,,,5,99.97652471947039
BRD-K15885023,BRD-K15885023,13,9,-0.07240687,0.8888888888888888,-5.4921236,5.4921236,0.0004997501249375312,0.011180859150256805,,,,6,99.97182966336447
BRD-K94176593,TWS-119,199,21,-0.056355413,0.7142857142857143,-5.428534,5.428534,0.0004997501249375312,0.011180859150256805,glycogen synthase kinase inhibitor,GSK3B|JUN|MYC,Preclinical,7,99.96713460725856
BRD-A22256192,terazosin,28,9,-0.062233396,0.6666666666666666,-5.361874,5.361874,0.0004997501249375312,0.011180859150256805,adrenergic receptor antagonist,ADRA1A|ADRA1B|ADRA1D,Launched,8,99.96243955115264
BRD-A44244100,BRD-A44244100,12,3,-0.12753114,1.0,-5.3241587,5.3241587,0.0004997501249375312,0.011180859150256805,,,,9,99.95774449504673
BRD-K71533863,BRD-K71533863,2,1,-0.14889483,,-5.3210397,5.3210397,0.0004997501249375312,0.011180859150256805,,,,10,99.9530494389408
BRD-K22177698,BRD-K22177698,6,5,-0.20378503,1.0,-5.27554,5.27554,0.0004997501249375312,0.011180859150256805,,,,11,99.94835438283486
BRD-M51239075,BRD-M51239075,2,1,-0.16671811,,-5.2358365,5.2358365,0.0004997501249375312,0.011180859150256805,,,,12,99.94365932672895
BRD-K02502363,BRD-K02502363,13,9,-0.09458944,0.6666666666666666,-5.2210946,5.2210946,0.0004997501249375312,0.011180859150256805,,,,13,99.93896427062303
BRD-A12409803,orteronel,58,50,-0.1349936,0.8,-5.2020364,5.2020364,0.0004997501249375312,0.011180859150256805,androgen biosynthesis inhibitor|androgen receptor antagonist|cytochrome P450 inhibitor,CYP17A1,Phase 3,14,99.93426921451712
BRD-K22385716,LY-303511,19,13,-0.1162258,0.8461538461538461,-5.1073437,5.1073437,0.0004997501249375312,0.011180859150256805,,,,15,99.9295741584112
BRD-K83727172,BRD-K83727172,7,4,-0.1479493,0.75,-5.105862,5.105862,0.0004997501249375312,0.011180859150256805,,,,16,99.92487910230527
BRD-K72541103,JAK3-inhibitor-I,19,13,-0.06621004,0.7692307692307693,-5.0022936,5.0022936,0.0004997501249375312,0.011180859150256805,,,,17,99.92018404619935
BRD-K84996949,sinensetin,19,13,-0.07164018,0.7692307692307693,-4.955745,4.955745,0.0004997501249375312,0.011180859150256805,,,,18,99.91548899009342
BRD-K65222708,BRD-K65222708,2,1,-0.19074619,,-4.8903723,4.8903723,0.0004997501249375312,0.011180859150256805,,,,19,99.9107939339875
BRD-K25090764,BRD-K25090764,2,1,-0.21712625,,-4.8857102,4.8857102,0.0004997501249375312,0.011180859150256805,,,,20,99.90609887788159
BRD-K46505016,BRD-K46505016,13,9,-0.11204916,0.8888888888888888,-4.8792925,4.8792925,0.0004997501249375312,0.011180859150256805,,,,21,99.90140382177567
BRD-K61496577,flumetasone,19,13,-0.108731665,0.9230769230769231,-4.8685455,4.8685455,0.0004997501249375312,0.011180859150256805,,,,22,99.89670876566976
BRD-K08109215,I-BET-762,171,21,-0.16934258,0.9523809523809523,-4.851634,4.851634,0.0004997501249375312,0.011180859150256805,bromodomain inhibitor,BRD2|BRD3|BRD4,Phase 2,23,99.89201370956383
BRD-K91070947,BRD-K91070947,3,3,-0.23969887,1.0,-4.8318353,4.8318353,0.0004997501249375312,0.011180859150256805,,,,24,99.88731865345791
BRD-A46802340,BRD-A46802340,12,3,-0.11386092,1.0,-4.7678103,4.7678103,0.0004997501249375312,0.011180859150256805,,,,25,99.882623597352
BRD-K87947369,tozasertib,59,51,-0.09526075,0.8235294117647058,-4.7614775,4.7614775,0.0004997501249375312,0.011180859150256805,Aurora kinase inhibitor|Bcr-Abl kinase inhibitor|FLT3 inhibitor|JAK inhibitor,AURKA|AURKB|AURKC|LCK,Phase 2,26,99.87792854124606
BRD-K14939371,BRD-K14939371,13,9,-0.114788264,1.0,-4.7381244,4.7381244,0.0004997501249375312,0.011180859150256805,,,,27,99.87323348514015
BRD-K51413232,BRD-K51413232,6,6,-0.15724865,0.6666666666666666,-4.659067,4.659067,0.0004997501249375312,0.011180859150256805,,,,28,99.86853842903423
